code,name,metric,sex,age,in,out,net,abs
01204,旭川市,male_10_19,男,10-19歳,24,19,5,5
01204,旭川市,male_20_29,男,20-29歳,23,18,5,5
01204,旭川市,male_30_39,男,30-39歳,5,8,-3,3
01204,旭川市,male_40_49,男,40-49歳,6,4,2,2
01204,旭川市,male_50_59,男,50-59歳,3,1,2,2
01204,旭川市,male_60_plus,男,60歳以上,3,2,1,1
01204,旭川市,male_unknown,男,不詳/その他,0,0,0,0
01204,旭川市,female_total,女,総数,53,39,14,14
01204,旭川市,female_0_9,女,0-9歳,1,1,0,0
01204,旭川市,female_10_19,女,10-19歳,9,6,3,3
01204,旭川市,female_20_29,女,20-29歳,30,19,11,11
01204,旭川市,female_30_39,女,30-39歳,3,5,-2,2
01204,旭川市,female_40_49,女,40-49歳,5,4,1,1
01204,旭川市,female_50_59,女,50-59歳,2,1,1,1
01204,旭川市,female_60_plus,女,60歳以上,3,3,0,0
01204,旭川市,female_unknown,女,不詳/その他,0,0,0,0
01213,苫小牧市,both_total,総数,総数,212,237,-25,25
01213,苫小牧市,both_0_9,総数,0-9歳,9,16,-7,7
01213,苫小牧市,both_10_19,総数,10-19歳,25,10,15,15
01213,苫小牧市,both_20_29,総数,20-29歳,87,95,-8,8
01213,苫小牧市,both_30_39,総数,30-39歳,38,54,-16,16
01213,苫小牧市,both_40_49,総数,40-49歳,19,21,-2,2
01213,苫小牧市,both_50_59,総数,50-59歳,20,21,-1,1
01213,苫小牧市,both_60_plus,総数,60歳以上,14,20,-6,6
01213,苫小牧市,both_unknown,総数,不詳/その他,0,0,0,0
01213,苫小牧市,male_total,男,総数,119,131,-12,12
01213,苫小牧市,male_0_9,男,0-9歳,6,7,-1,1
01213,苫小牧市,male_10_19,男,10-19歳,12,2,10,10
01213,苫小牧市,male_20_29,男,20-29歳,48,52,-4,4
01213,苫小牧市,male_30_39,男,30-39歳,25,35,-10,10
01213,苫小牧市,male_40_49,男,40-49歳,12,13,-1,1
01213,苫小牧市,male_50_59,男,50-59歳,12,12,0,0
01213,苫小牧市,male_60_plus,男,60歳以上,4,10,-6,6
01213,苫小牧市,male_unknown,男,不詳/その他,0,0,0,0
01213,苫小牧市,female_total,女,総数,93,106,-13,13
01213,苫小牧市,female_0_9,女,0-9歳,3,9,-6,6
01213,苫小牧市,female_10_19,女,10-19歳,13,8,5,5
01213,苫小牧市,female_20_29,女,20-29歳,39,43,-4,4
01213,苫小牧市,female_30_39,女,30-39歳,13,19,-6,6
01213,苫小牧市,female_40_49,女,40-49歳,7,8,-1,1
